A,K,VLL,ELBO,ARI,Clusters,BIC
1257.468922,379.4286237,-7089713.37,1.78545E+13,0.562832162,2,18798417.04
1808.546448,1276.839391,-3928884.88,1.78545E+13,0.562832162,2,12476760.06
1078.713579,415.0258158,-6146459.635,1.78545E+13,0.562832162,2,16911909.57
1212.533268,1368.618085,-3054938.505,1.78545E+13,0.562832162,2,10728867.31
1268.524062,876.6051504,-4167341.543,1.78545E+13,0.562832162,2,12953673.39
1703.181004,281.7686996,-9894652.764,1.78545E+13,0.562832162,2,24408295.83
1189.761882,723.0873704,-4561119.982,1.78545E+13,0.562832162,2,13741230.27
921.3991692,935.6128829,-3322166.534,1.78545E+13,0.562832162,2,11263323.37
1797.878489,800.8430654,-5308912.162,1.78545E+13,0.562832162,2,15236814.63
1787.533404,1313.11435,-3837893.561,1.78545E+13,0.562832162,2,12294777.42
757.4163178,502.6785977,-4396849.221,1.78545E+13,0.562832162,2,13412688.74
656.0004461,968.2847633,-2639646.633,1.78545E+13,0.562832162,2,9898283.568
1651.975251,720.4038487,-5457002.283,1.78545E+13,0.562832162,2,15532994.87
1072.611643,1854.506102,-2377782.523,1.78545E+13,0.562832162,2,9374555.348
1232.071523,1173.635508,-3395047.095,1.78545E+13,0.562832162,2,11409084.49
846.4492525,1451.636876,-2396429.213,1.78545E+13,0.562832162,2,9411848.728
1450.316955,910.1869423,-4372180.021,1.78545E+13,0.562832162,2,13363350.34
783.9085165,1240.585642,-2520108.83,1.78545E+13,0.562832162,2,9659207.961
760.9871679,1401.893428,-2296423.142,1.78545E+13,0.562832162,2,9211836.586
1475.378821,1980.411529,-2719150.057,1.78545E+13,0.562832162,2,10057290.42
525.5694334,1454.62669,-1791419.865,1.78545E+13,0.562832162,2,8201830.032
53.85541015,503.0622502,-1032881.395,1.78545E+13,0.436135845,3,8994250.545
720.2242986,1019.91243,-2706397.514,1.78545E+13,0.562832162,2,10031785.33
1631.221787,563.6174601,-6367336.825,1.78545E+13,0.562832162,2,17353663.95
989.1352655,188.6569769,-8850232.293,1.78545E+13,0.562832162,2,22319454.89
