a0,b0,VLL,ELBO,ARI,CL,BIC
0.112150034,422.6653169,-264809.8582,1.78545E+13,0.562832162,2,5148610.018
1388.635794,1292.006224,-240588.6401,1.78545E+13,0.562832162,2,5100167.582
422.4470285,1219.41399,-215189.3322,1.78545E+13,0.562832162,2,5049368.966
129.3401041,1562.150581,-226988.1834,1.22466E+13,1,3,7382464.122
760.0700415,895.0588645,-153599.1817,1.22466E+13,1,3,7235686.118
1223.143225,262.9639959,-289807.3564,1.78545E+13,0.470604253,3,7508102.468
312.0124258,1891.786051,-226045.5709,1.78545E+13,0.562832162,2,5071081.444
1294.803951,694.3422085,-253625.465,1.78545E+13,0.562832162,2,5126241.232
1171.876336,635.1027738,-247699.6207,1.78545E+13,0.562832162,2,5114389.543
1976.838394,1598.914539,-262089.9276,1.78545E+13,0.562832162,2,5143170.157
1425.368933,1502.29127,-238272.8903,1.78545E+13,0.562832162,2,5095536.082
1007.799952,1338.534191,-152845.0862,1.22466E+13,1,3,7234177.927
1314.778624,1529.212733,-233238.3203,1.78545E+13,0.562832162,2,5085466.942
84.20035898,806.5612323,-220921.5198,1.22466E+13,1,3,7370330.795
1683.536971,117.4250298,-451700.3786,1.78545E+13,0.562832162,2,5522391.059
992.7144416,1141.122722,-225340.1998,1.78545E+13,0.562832162,2,5069670.701
710.7050327,1502.331092,-216092.9356,1.78545E+13,0.562832162,2,5051176.173
1179.096815,1496.294089,-228392.1632,1.78545E+13,0.534778941,3,7385272.081
1356.102541,756.1338989,-255030.0738,1.78545E+13,0.562832162,2,5129050.449
523.1323446,1147.933512,-213873.0145,1.78545E+13,0.562832162,2,5046736.331
1573.217804,1176.858169,-252868.6531,1.78545E+13,0.456326504,3,7434225.061
34.9212517,104.5849157,-204063.6697,1.22466E+13,1,3,7336615.095
1660.457933,252.9399003,-349029.5868,1.78545E+13,0.562832162,2,5317049.475
1502.01917,1918.451319,-235092.5021,1.78545E+13,0.562832162,2,5089175.306
1877.717463,917.0038611,-282691.26,1.78545E+13,0.521953836,3,7493870.275
1681.420501,1708.358587,-146950.8041,1.22466E+13,1,3,7222389.363
582.5604386,1844.435013,-216804.051,1.78545E+13,0.562832162,2,5052598.404
1554.081401,1886.76467,-237436.6246,1.78545E+13,0.562832162,2,5093863.551
267.3740319,1355.121313,-195258.2359,1.22466E+13,1,3,7319004.227
1978.867057,1852.721348,-145818.5321,1.22466E+13,1,3,7220124.819
1239.039211,523.9706304,-259275.0405,1.78545E+13,0.562832162,2,5137540.383
761.7789635,516.2308417,-224939.9073,1.78545E+13,0.562832162,2,5068870.116
340.6263924,313.3841716,-209305.2208,1.78545E+13,0.534778941,3,7347098.197
689.6308758,518.8457204,-220748.7054,1.78545E+13,0.562832162,2,5060487.713
1099.32435,643.7993395,-242265.7177,1.78545E+13,0.562832162,2,5103521.737
1726.377742,1114.340941,-264182.2553,1.78545E+13,0.562832162,2,5147354.812
1272.73446,365.9505027,-277934.4725,1.78545E+13,0.562832162,2,5174859.247
263.2503965,1723.286436,-203389.9417,1.22466E+13,1,3,7335267.639
1334.798345,314.6467058,-175126.7674,1.22466E+13,1,3,7278741.29
212.706232,740.569126,-187137.1648,1.22466E+13,1,3,7302762.085
497.6625024,1320.346025,-172374.1279,1.22466E+13,1,3,7273236.011
1327.8126,630.5061302,-259437.6761,1.78545E+13,0.562832162,2,5137865.654
152.9125265,1677.292681,-240673.7174,1.78545E+13,0.562832162,2,5100337.737
1605.140864,878.4384542,-148759.8289,1.22466E+13,1,3,7226007.413
332.9805783,1344.50989,-186935.5972,1.22466E+13,1,3,7302358.949
1002.843885,481.5605019,-243161.6935,1.78545E+13,0.562832162,2,5105313.689
795.4445586,494.738408,-227741.6058,1.78545E+13,0.562832162,2,5074473.513
1685.733467,1788.615853,-244265.3944,1.78545E+13,0.562832162,2,5107521.091
837.2680072,1075.843513,-220172.0113,1.78545E+13,0.562832162,2,5059334.324
1404.04447,1120.782047,-245408.82,1.78545E+13,0.562832162,2,5109807.942
1039.159647,157.4406826,-201758.5896,1.22466E+13,1,3,7332004.934
1118.75932,757.2760621,-239413.327,1.78545E+13,0.562832162,2,5097816.956
1307.963347,1816.182802,-229533.3624,1.78545E+13,0.562832162,2,5078057.027
1840.171139,121.4592331,-476534.5536,1.78545E+13,0.562832162,2,5572059.409
1687.585828,325.9616026,-330586.8979,1.78545E+13,0.562832162,2,5280164.098
432.51458,1280.0056,-215470.8941,1.78545E+13,0.562832162,2,5049932.09
753.1236591,761.8128455,-219851.5583,1.78545E+13,0.562832162,2,5058693.418
442.3462271,1216.815886,-174293.8138,1.22466E+13,1,3,7277075.383
752.2257347,1389.98718,-216738.4623,1.78545E+13,0.562832162,2,5052467.226
29.68619047,152.5270663,-211947.898,1.22466E+13,1,3,7352383.551
265.9523561,1514.385507,-198861.583,1.22466E+13,1,3,7326210.921
1320.307685,1090.310978,-241691.9276,1.78545E+13,0.562832162,2,5102374.157
