"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"61",-2536813.10225247,17902031976782.3,0.521953836202136,3,12002113.9596644,150856.758533305,-252422.488435192,-0.00159785699179923,20,45888230.9466275,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"62",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150703.517070601,-251912.165263369,-0.00264717595520885,20,45888537.4295529,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"63",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150809.502238744,-253917.070717486,0.00587632334645268,20,45888325.4592166,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"64",-2536889.44399333,17902032049057.1,0.521953836202136,3,12002266.6431461,150822.476427103,-252729.167490858,0.0101683770518752,20,45888299.5108399,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"65",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151037.944958347,-253103.823260658,0.0175238693960944,20,45887868.5737774,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"66",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150889.743677365,-253948.71132092,-0.00397357221791164,20,45888164.9763394,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"67",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151009.891925351,-254039.764917552,0.00260786916666013,20,45887924.6798434,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"68",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150387.789524213,-253739.978629376,-0.00472675623442848,20,45889168.8846457,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"69",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150883.481061679,-253914.738390199,-0.00788283876225327,20,45888177.5015707,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"70",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151112.701423967,-253377.561172247,0.0131656606832293,20,45887719.0608462,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"71",-2536733.33647933,17902031858703,0.509956563732036,3,12001954.4281181,150944.565110438,-253793.627500813,0.00382856201407467,20,45888055.3334732,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"72",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151030.545571212,-254273.521400048,0.00220030647125849,20,45887883.3725517,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"73",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151004.95580312,-252573.067778969,-0.00248953531291966,20,45887934.5520879,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"74",-2536305.95768164,17902031493391.7,0.456326504350996,3,12001099.6705227,150953.917240106,-254386.731799316,-0.0134419360154429,20,45888036.6292139,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"75",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150975.644369847,-254149.226799172,0.00498488833065118,20,45887993.1749544,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"76",-2537011.1848932,17902032192615.1,0.534778941412533,3,12002510.1249459,150767.741619435,-251490.952072716,0.00785739415972793,20,45888408.9804552,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"77",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150679.072276673,-252506.88105257,0.00284789139000508,20,45888586.3191407,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"78",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151096.077649485,-253296.584166956,-0.00256492970046971,20,45887752.3083951,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"79",-2536105.50049512,17902031452895.6,0.437102696407486,3,12000698.7561497,150705.6995566,-254137.844473144,-0.00850375992690984,20,45888533.0645809,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"80",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150750.396805333,-247787.175140633,-0.00190727814212349,19,43578946.2166402,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"81",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151046.253437366,-253213.117801742,-0.000951041036241744,20,45887851.9568194,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"82",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150961.211829132,-251660.63326592,0.00303679465147484,20,45888022.0400358,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"83",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150839.535877814,-254370.491202836,0.00350759064538102,20,45888265.3919385,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"84",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150976.42127779,-254109.078729569,-0.00796797111119833,20,45887991.6211385,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"85",-2537147.22406381,17902032885918.7,0.548412006866433,3,12002782.2032871,150927.307942376,-254099.731735118,-0.000470532878484891,20,45888089.8478093,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
